,year,month,day,symbol,order_type,number_of_shares
0,2009,9,10,AEE,BUY,100
1,2009,9,17,AEE,SELL,100
2,2008,5,15,AEP,BUY,100
3,2008,5,22,AEP,SELL,100
4,2009,4,29,AET,BUY,100
5,2009,5,6,AET,SELL,100
6,2009,5,1,AGN,BUY,100
7,2009,5,8,AGN,SELL,100
8,2009,10,19,AIG,BUY,100
9,2009,10,26,AIG,SELL,100
10,2009,5,4,AMT,BUY,100
11,2009,5,11,AMT,SELL,100
12,2009,5,8,AMT,BUY,100
13,2009,5,15,AMT,SELL,100
14,2009,5,1,AON,BUY,100
15,2009,5,8,AON,SELL,100
16,2008,8,11,APD,BUY,100
17,2008,8,18,APD,SELL,100
18,2009,12,21,APD,BUY,100
19,2009,12,29,APD,SELL,100
20,2009,7,22,ATI,BUY,100
21,2009,7,29,ATI,SELL,100
22,2009,5,8,AZO,BUY,100
23,2009,5,15,AZO,SELL,100
24,2009,6,4,BAX,BUY,100
25,2009,6,11,BAX,SELL,100
26,2009,10,15,BAX,BUY,100
27,2009,10,22,BAX,SELL,100
28,2009,5,7,BBBY,BUY,100
29,2009,5,14,BBBY,SELL,100
30,2009,7,23,BCR,BUY,100
31,2009,7,30,BCR,SELL,100
32,2009,7,27,BCR,BUY,100
33,2009,8,3,BCR,SELL,100
34,2008,5,19,BDX,BUY,100
35,2008,5,27,BDX,SELL,100
36,2009,5,29,BF.B,BUY,100
37,2009,6,5,BF.B,SELL,100
38,2009,12,14,C,BUY,100
39,2009,12,21,C,SELL,100
40,2009,12,21,CAG,BUY,100
41,2009,12,29,CAG,SELL,100
42,2009,6,2,CAH,BUY,100
43,2009,6,9,CAH,SELL,100
44,2008,7,30,CBG,BUY,100
45,2008,8,6,CBG,SELL,100
46,2008,5,15,CELG,BUY,100
47,2008,5,22,CELG,SELL,100
48,2008,8,11,CF,BUY,100
49,2008,8,18,CF,SELL,100
50,2009,9,17,CLX,BUY,100
51,2009,9,24,CLX,SELL,100
52,2008,5,19,CPB,BUY,100
53,2008,5,27,CPB,SELL,100
54,2009,5,29,CTAS,BUY,100
55,2009,6,5,CTAS,SELL,100
56,2009,12,23,CTAS,BUY,100
57,2009,12,30,CTAS,SELL,100
58,2009,9,18,CVH,BUY,100
59,2009,9,25,CVH,SELL,100
60,2009,5,5,DF,BUY,100
61,2009,5,12,DF,SELL,100
62,2009,9,16,DGX,BUY,100
63,2009,9,23,DGX,SELL,100
64,2009,5,1,DLTR,BUY,100
65,2009,5,8,DLTR,SELL,100
66,2008,5,1,DNR,BUY,100
67,2008,5,8,DNR,SELL,100
68,2008,8,11,DO,BUY,100
69,2008,8,18,DO,SELL,100
70,2009,5,4,DV,BUY,100
71,2009,5,11,DV,SELL,100
72,2008,5,16,EA,BUY,100
73,2008,5,23,EA,SELL,100
74,2008,5,19,EXPE,BUY,100
75,2008,5,27,EXPE,SELL,100
76,2009,9,17,F,BUY,100
77,2009,9,24,F,SELL,100
78,2009,5,7,FDO,BUY,100
79,2009,5,14,FDO,SELL,100
80,2009,5,29,FLIR,BUY,100
81,2009,6,5,FLIR,SELL,100
82,2008,8,11,FSLR,BUY,100
83,2008,8,18,FSLR,SELL,100
84,2009,3,18,GIS,BUY,100
85,2009,3,25,GIS,SELL,100
86,2009,5,6,GME,BUY,100
87,2009,5,13,GME,SELL,100
88,2008,2,26,GOOG,BUY,100
89,2008,3,4,GOOG,SELL,100
90,2009,12,28,HAR,BUY,100
91,2009,12,30,HAR,SELL,100
92,2009,8,25,HCBK,BUY,100
93,2009,9,1,HCBK,SELL,100
94,2009,1,6,ICE,BUY,100
95,2009,1,13,ICE,SELL,100
96,2008,5,1,IFF,BUY,100
97,2008,5,8,IFF,SELL,100
98,2009,5,1,IFF,BUY,100
99,2009,5,8,IFF,SELL,100
100,2009,8,21,INTU,BUY,100
101,2009,8,28,INTU,SELL,100
102,2008,5,2,IP,BUY,100
103,2008,5,9,IP,SELL,100
104,2008,4,18,ISRG,BUY,100
105,2008,4,25,ISRG,SELL,100
106,2008,5,1,JDSU,BUY,100
107,2008,5,8,JDSU,SELL,100
108,2009,11,17,JEC,BUY,100
109,2009,11,24,JEC,SELL,100
110,2009,7,21,KEY,BUY,100
111,2009,7,28,KEY,SELL,100
112,2008,4,25,KO,BUY,100
113,2008,5,2,KO,SELL,100
114,2009,9,15,KR,BUY,100
115,2009,9,22,KR,SELL,100
116,2009,5,1,KSS,BUY,100
117,2009,5,8,KSS,SELL,100
118,2009,9,16,LH,BUY,100
119,2009,9,23,LH,SELL,100
120,2009,7,21,LMT,BUY,100
121,2009,7,28,LMT,SELL,100
122,2009,7,24,LMT,BUY,100
123,2009,7,31,LMT,SELL,100
124,2009,7,23,MCD,BUY,100
125,2009,7,30,MCD,SELL,100
126,2009,5,29,MNST,BUY,100
127,2009,6,5,MNST,SELL,100
128,2008,8,6,MOLX,BUY,100
129,2008,8,13,MOLX,SELL,100
130,2009,9,10,MON,BUY,100
131,2009,9,17,MON,SELL,100
132,2008,8,11,MOS,BUY,100
133,2008,8,18,MOS,SELL,100
134,2008,8,11,NEM,BUY,100
135,2008,8,18,NEM,SELL,100
136,2009,4,16,NEM,BUY,100
137,2009,4,23,NEM,SELL,100
138,2009,12,21,NEM,BUY,100
139,2009,12,29,NEM,SELL,100
140,2009,5,7,NFLX,BUY,100
141,2009,5,14,NFLX,SELL,100
142,2009,5,8,NVDA,BUY,100
143,2009,5,15,NVDA,SELL,100
144,2008,5,1,OI,BUY,100
145,2008,5,8,OI,SELL,100
146,2008,8,8,OKE,BUY,100
147,2008,8,15,OKE,SELL,100
148,2009,5,7,ORCL,BUY,100
149,2009,5,14,ORCL,SELL,100
150,2009,5,8,ORLY,BUY,100
151,2009,5,15,ORLY,SELL,100
152,2009,4,17,PBCT,BUY,100
153,2009,4,24,PBCT,SELL,100
154,2009,5,7,PBI,BUY,100
155,2009,5,14,PBI,SELL,100
156,2009,12,21,PG,BUY,100
157,2009,12,29,PG,SELL,100
158,2009,7,24,PNC,BUY,100
159,2009,7,31,PNC,SELL,100
160,2008,5,6,PRGO,BUY,100
161,2008,5,13,PRGO,SELL,100
162,2009,1,6,PRGO,BUY,100
163,2009,1,13,PRGO,SELL,100
164,2009,1,6,RAI,BUY,100
165,2009,1,13,RAI,SELL,100
166,2008,5,1,RDC,BUY,100
167,2008,5,8,RDC,SELL,100
168,2008,5,19,RF,BUY,100
169,2008,5,27,RF,SELL,100
170,2009,7,21,RF,BUY,100
171,2009,7,28,RF,SELL,100
172,2009,5,7,ROST,BUY,100
173,2009,5,14,ROST,SELL,100
174,2008,8,6,S,BUY,100
175,2008,8,13,S,SELL,100
176,2008,5,2,SEE,BUY,100
177,2008,5,9,SEE,SELL,100
178,2009,9,10,SHW,BUY,100
179,2009,9,17,SHW,SELL,100
180,2008,5,2,SIAL,BUY,100
181,2008,5,9,SIAL,SELL,100
182,2009,12,21,SIAL,BUY,100
183,2009,12,29,SIAL,SELL,100
184,2009,4,29,SRCL,BUY,100
185,2009,5,6,SRCL,SELL,100
186,2008,5,2,STJ,BUY,100
187,2008,5,9,STJ,SELL,100
188,2009,7,22,STJ,BUY,100
189,2009,7,29,STJ,SELL,100
190,2009,7,23,SWY,BUY,100
191,2009,7,30,SWY,SELL,100
192,2009,5,7,SYMC,BUY,100
193,2009,5,14,SYMC,SELL,100
194,2009,12,14,TAP,BUY,100
195,2009,12,21,TAP,SELL,100
196,2008,4,1,TDC,BUY,100
197,2008,4,8,TDC,SELL,100
198,2009,4,13,TDC,BUY,100
199,2009,4,20,TDC,SELL,100
200,2009,5,7,TRV,BUY,100
201,2009,5,14,TRV,SELL,100
202,2009,7,20,TSN,BUY,100
203,2009,7,27,TSN,SELL,100
204,2009,4,29,TSS,BUY,100
205,2009,5,6,TSS,SELL,100
206,2009,12,23,TWC,BUY,100
207,2009,12,30,TWC,SELL,100
208,2009,9,17,TXN,BUY,100
209,2009,9,24,TXN,SELL,100
210,2008,5,16,URBN,BUY,100
211,2008,5,23,URBN,SELL,100
212,2009,4,29,VFC,BUY,100
213,2009,5,6,VFC,SELL,100
214,2008,5,6,VMC,BUY,100
215,2008,5,13,VMC,SELL,100
216,2009,5,7,VZ,BUY,100
217,2009,5,14,VZ,SELL,100
218,2009,9,17,VZ,BUY,100
219,2009,9,24,VZ,SELL,100
220,2009,5,8,WEC,BUY,100
221,2009,5,15,WEC,SELL,100
222,2008,8,6,WFM,BUY,100
223,2008,8,13,WFM,SELL,100
224,2009,9,14,WMT,BUY,100
225,2009,9,21,WMT,SELL,100
226,2008,5,2,WPO,BUY,100
227,2008,5,9,WPO,SELL,100
228,2009,5,4,WPO,BUY,100
229,2009,5,11,WPO,SELL,100
230,2009,5,7,XLNX,BUY,100
231,2009,5,14,XLNX,SELL,100
232,2009,12,14,XOM,BUY,100
233,2009,12,21,XOM,SELL,100
